Country,Country__colour,id,EuSCAPE ID or sample name,Data source,Data source__colour,Carbapenem resistance,Carbapenem resistance__colour,Host,Host__colour,Sample type,Clinical importance,Clinical importance__colour,Epidemiological context,Epidemiological context__colour,ST,ST__colour,latitude,longitude,Location accuracy,Location accuracy__colour,day,month,year,Hospital code,Best matching K-type (capsular loci),Best matching K-type (capsular loci)__colour,Presence/absence of KPC-like in silico,Presence/absence of KPC-like in silico__colour,KPC-like variant,KPC-like variant__colour,Presence/absence of OXA-48-like in silico,Presence/absence of OXA-48-like in silico__colour,OXA-48-like variant,OXA-48-like variant__colour,Colistin resistance,Colistin resistance__colour
Greece,#C603C6,SRR1561224,Greece-2009,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,39.074208,21.824312,Country-level,#b30000,,,2009,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Greece,#C603C6,SRR1561225,Greece-2010,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,39.074208,21.824312,Country-level,#b30000,,,2010,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Greece,#C603C6,SRR1561226,Greece-2011,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,39.074208,21.824312,Country-level,#b30000,,,2011,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Italy,#4D58F9,SRR1561240,Italy-2009,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,41.87194,12.56738,Country-level,#b30000,,,2009,Unknown acquisition (community/hospital),KL156-D1,#1f78b4,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Italy,#4D58F9,SRR1561241,Italy-2011a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,41.87194,12.56738,Country-level,#b30000,,,2011,Unknown acquisition (community/hospital),KL112,#b2df8a,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Italy,#4D58F9,SRR1561242,Italy-2011b,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,41.87194,12.56738,Country-level,#b30000,,,2011,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Poland,#F8A690,SRR1561277,Poland-2009a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,51.919438,19.145136,Country-level,#b30000,,,2009,Unknown acquisition (community/hospital),KL30,#ff7f00,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Poland,#F8A690,SRR1561278,Poland-2009b,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,51.919438,19.145136,Country-level,#b30000,,,2009,Unknown acquisition (community/hospital),Unknown/failed,#A4A4A4,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Poland,#F8A690,SRR1561280,Poland-2009d,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,51.919438,19.145136,Country-level,#b30000,,,2009,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Poland,#F8A690,SRR1561281,Poland-2009e,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,51.919438,19.145136,Country-level,#b30000,,,2009,Unknown acquisition (community/hospital),Unknown/failed,#A4A4A4,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561305,US-FL-2011,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,27.6648274,-81.5157535,Region/state-level,#e34a33,,,2011,Unknown acquisition (community/hospital),Unknown/failed,#A4A4A4,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561306,US-GA-2006a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,32.1656221,-82.9000751,Region/state-level,#e34a33,,,2006,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561311,US-GA-2009c,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,32.1656221,-82.9000751,Region/state-level,#e34a33,,,2009,Unknown acquisition (community/hospital),KL46,#ffff33,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561317,US-MA-2007,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.4072107,-71.3824374,Region/state-level,#e34a33,,,2007,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561339,US-NY-2005a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.7127837,-74.0059413,Region/state-level,#e34a33,,,2005,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561341,US-NY-2005c,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.7127837,-74.0059413,Region/state-level,#e34a33,,,2005,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561342,US-NY-2005d,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.7127837,-74.0059413,Region/state-level,#e34a33,,,2005,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561343,US-NY-2009a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.7127837,-74.0059413,Region/state-level,#e34a33,,,2009,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561344,US-NY-2009b,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,40.7127837,-74.0059413,Region/state-level,#e34a33,,,2009,Unknown acquisition (community/hospital),KL82,#01665e,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561347,US-OR-2010,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,43.8041334,-120.5542012,Region/state-level,#e34a33,,,2010,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561353,US-PA-2011a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,41.2033216,-77.1945247,Region/state-level,#e34a33,,,2011,Unknown acquisition (community/hospital),Unknown/failed,#A4A4A4,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561356,US-SD-2012,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,43.9695148,-99.9018131,Region/state-level,#e34a33,,,2012,Unknown acquisition (community/hospital),KL107,#e31a1c,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,SRR1561360,US-VA-2008a,Bowers et al. 2015,#B32646,Unknown,#A4A4A4,Human,#2c7fb8,Unknown,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,37.4315734,-78.6568942,Region/state-level,#e34a33,,,2008,Unknown acquisition (community/hospital),KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_18A,BIDMC_18A,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,5,2012,Boston historical,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_18B,BIDMC_18B,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,12,2010,Boston historical,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_18C,BIDMC_18C,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,11,2010,Boston historical,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_34,BIDMC_34,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,9,2012,Boston prospective,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_45,BIDMC_45,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,2,2013,Boston prospective,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_60,BIDMC_60,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Peritoneal fluid,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,8,2013,Boston prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BIDMC_68,BIDMC_68,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Blood culture,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,9,2013,Boston prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BWH_22,BWH_22,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,6,2012,Boston historical,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,BWH_45,BWH_45,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Tissue,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,9,2013,Boston prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,MGH_51,MGH_51,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,2,2013,Boston prospective,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,MGH_67,MGH_67,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Pleural tissue,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,5,2013,Boston prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,MGH_79,MGH_79,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,42.3600825,-71.0588801,Town-level,#fdcc8a,,7,2013,Boston prospective,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,UCI_19,UCI_19,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,33.6845673,-117.8265049,Town-level,#fdcc8a,,,2013,Irvine prospective,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,UCI_21,UCI_21,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Rectal swab,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,33.6845673,-117.8265049,Town-level,#fdcc8a,,,2013,Irvine prospective,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,UCI_59,UCI_59,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Wound,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,33.6845673,-117.8265049,Town-level,#fdcc8a,,,2013,Irvine prospective,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,UCI_61,UCI_61,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,33.6845673,-117.8265049,Town-level,#fdcc8a,,,2013,Irvine prospective,KL30,#ff7f00,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,UCI_63,UCI_63,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Wound,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,33.6845673,-117.8265049,Town-level,#fdcc8a,,,2013,Irvine prospective,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
USA,#38E807,UCICRE_13,UCI_13,Cerquiera et al. 2017,#EA952E,Non-susceptible (reported in Cerquiera et al. 2017),#ED462F,Human,#2c7fb8,Urine,Unknown,#A4A4A4,Unknown,#A4A4A4,258,#0730E8,33.6845673,-117.8265049,Town-level,#fdcc8a,,,2012,Irvine prospective,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Italy,#4D58F9,R25_233,R25/233,Conte et al. 2016,#40ff00,Non-susceptible (correspondence with authors),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Unknown,#A4A4A4,258,#0730E8,45.6982642,9.6772698,Town-level,#fdcc8a,,,2011,,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Austria,#E3DFDC,17870_2#13,EuSCAPE_AT022,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Community Onset,#a6cee3,258,#0730E8,47.2301548,9.5808176,Address-level,#fef0d9,20,2,2014,155,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Belgium,#9B0606,19506_1#68,EuSCAPE_BE092,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Hospital Acquisition,#1f78b4,258,#0730E8,50.651987,5.575025,Address-level,#fef0d9,14,3,2014,37,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
Croatia,#A19B03,18858_1#27,EuSCAPE_HR021,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Other (catheter),Infection,#d95f02,Hospital Acquisition,#1f78b4,258,#0730E8,45.823818,16.0061151,Address-level,#fef0d9,6,11,2013,53,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Unknown,#bdbdbd
France,#FD5DB9,17870_5#40,EuSCAPE_FR006,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Community Onset,#a6cee3,258,#0730E8,48.8099009,2.3573942,Address-level,#fef0d9,28,11,2013,117,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Germany,#0C1716,18174_4#15,EuSCAPE_DE016,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Colonization,#1b9e77,Community Onset,#a6cee3,258,#0730E8,51.056814,13.780108,Address-level,#fef0d9,21,1,2014,215,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Germany,#0C1716,18174_4#27,EuSCAPE_DE028,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Lower Respiratory Tract Secrection,Infection,#d95f02,Hospital Acquisition,#1f78b4,258,#0730E8,50.094722,8.661111,Address-level,#fef0d9,3,2,2014,217,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Germany,#0C1716,18174_4#50,EuSCAPE_DE051,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,258,#0730E8,52.383889,9.804722,Address-level,#fef0d9,20,4,2014,168,KL106,#a6cee3,Present,#ED462F,KPC-like KPC-2,#d95f02,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
